Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.0601028, 0.000202429, 0.000149649, 1.0071e-05, 587, 1504, 50
0.000197771, 0.000105145, 9.1008e-05, 7.55e-06, 579, 1394, 40
0.00048229, 0.00028137, 0.000198178, 8.075e-06, 576, 1606, 32
0.000296154, 0.000154207, 0.00014021, 5.504e-06, 561, 1545, 23
0.000716743, 0.000398193, 0.000313785, 2.4405e-05, 575, 1505, 24
0.000308817, 0.000168419, 0.000139662, 4.749e-06, 574, 1599, 20
0.00082769, 0.00038872, 0.000436547, 1.8395e-05, 587, 1543, 16
0.000353345, 0.000183525, 0.000168283, 4.782e-06, 571, 1568, 20
0.000312553, 0.000168945, 0.000142922, 3.869e-06, 569, 1406, 17
0.00026882, 0.00012721, 0.000140659, 4.432e-06, 570, 1706, 22
0.000435915, 0.00026416, 0.000169818, 4.458e-06, 578, 1578, 20
0.000344005, 0.000181594, 0.000161579, 6.085e-06, 573, 1574, 32
0.00037126, 0.000207925, 0.000162253, 6.413e-06, 566, 1693, 23
0.000427625, 0.000216466, 0.000207287, 6.081e-06, 585, 1644, 22
0.000360166, 0.000194881, 0.000164138, 3.6e-06, 568, 1532, 14
0.00057781, 0.000255685, 0.000320065, 8.188e-06, 566, 1542, 15
0.00149713, 0.0006815, 0.000806979, 2.2365e-05, 568, 1830, 19
0.000869559, 0.000420456, 0.000443223, 1.4465e-05, 559, 1537, 16
0.000417923, 0.000185461, 0.000230918, 8.824e-06, 566, 1579, 18
0.00083716, 0.000305188, 0.000529364, 5.651e-06, 554, 1528, 5
0.000373829, 0.000221096, 0.000151707, 3.995e-06, 557, 1586, 13
0.000285399, 0.000143038, 0.000141418, 3.669e-06, 571, 1690, 13
0.000385697, 0.000228847, 0.000155892, 2.655e-06, 585, 1652, 8
0.000206244, 0.000111519, 9.3851e-05, 2.947e-06, 571, 1393, 10
0.000580134, 0.000286104, 0.000286878, 7.439e-06, 572, 1610, 13
0.000509338, 0.00024597, 0.000260225, 7.094e-06, 563, 1579, 17
0.000480319, 0.000261592, 0.000214059, 3.45e-06, 584, 1628, 9
0.000615647, 0.000310493, 0.000301573, 6.484e-06, 579, 1703, 11
0.000838051, 0.000507626, 0.000327826, 8.19e-06, 582, 1668, 8
0.000352202, 0.000197771, 0.000152066, 8.724e-06, 573, 1648, 17
0.000434222, 0.000219335, 0.000212712, 6.689e-06, 579, 1527, 14
0.000543144, 0.000210292, 0.000331126, 1.4749e-05, 570, 1676, 9
0.000899058, 0.000392012, 0.000497882, 1.9732e-05, 560, 1486, 13
0.000593749, 0.000251668, 0.000340263, 6.758e-06, 551, 1493, 10
0.000312234, 0.000171838, 0.000138984, 3.808e-06, 569, 1496, 10
0.000246918, 0.000150203, 9.5408e-05, 2.875e-06, 568, 1424, 12
0.000346756, 0.000177102, 0.00016837, 2.274e-06, 549, 1453, 6
0.000437449, 0.000220585, 0.000215844, 5.894e-06, 570, 1624, 10
0.000295703, 0.000155591, 0.000139327, 3.344e-06, 573, 1564, 15
0.00025489, 0.000138531, 0.000114334, 5.073e-06, 575, 1518, 5
0.000670184, 0.000311452, 0.00035615, 4.16e-06, 570, 1632, 3
0.000281864, 0.000166104, 0.000114247, 3.092e-06, 569, 1826, 11
0.000224386, 0.000130737, 9.1821e-05, 2.553e-06, 580, 1796, 11
0.000426599, 0.000208705, 0.000216262, 4.416e-06, 585, 1712, 9
0.000292897, 0.000148, 0.000143272, 3.734e-06, 563, 1592, 9
0.000191697, 0.000107467, 8.2973e-05, 1.71e-06, 571, 1614, 8
0.000329499, 0.00018806, 0.000140422, 4.141e-06, 566, 1554, 15
0.000205545, 0.000122616, 8.1281e-05, 2.443e-06, 571, 1541, 11
0.000281612, 0.000165443, 0.000115024, 2.658e-06, 558, 1770, 12
0.000768479, 0.000380373, 0.000385844, 3.769e-06, 564, 1523, 4
0.000397268, 0.000221505, 0.000174095, 3.432e-06, 581, 1625, 12
0.000279765, 0.000162549, 0.000115559, 2.691e-06, 574, 1664, 8
0.000492514, 0.000249416, 0.000241518, 4.338e-06, 581, 1465, 8
0.00029834, 0.000168435, 0.000128457, 2.154e-06, 575, 1757, 8
0.000411488, 0.000197712, 0.000212028, 5.787e-06, 573, 1675, 9
0.000452486, 0.000245211, 0.000204426, 5.349e-06, 567, 1564, 9
0.00040676, 0.000191766, 0.000211871, 4.321e-06, 560, 1631, 7
0.00033252, 0.000182835, 0.000148096, 3.032e-06, 574, 1609, 9
0.000448896, 0.000354291, 9.2856e-05, 2.653e-06, 576, 1590, 9
0.000292033, 0.000163155, 0.000127994, 3.022e-06, 553, 1643, 12
0.000315856, 0.000160254, 0.000154185, 2.498e-06, 558, 1561, 8
0.00026702, 0.000155462, 0.000110461, 2.091e-06, 574, 1532, 8
0.00051762, 0.000244227, 0.000271863, 4.322e-06, 567, 1874, 8
0.000505081, 0.000235217, 0.000268645, 3.565e-06, 579, 1937, 7
0.000417991, 0.000214746, 0.000200707, 2.599e-06, 559, 1598, 6
0.000446342, 0.000253645, 0.000191703, 2.873e-06, 580, 1645, 6
0.000263162, 0.000162044, 0.000100267, 1.791e-06, 556, 1429, 5
0.000256479, 0.000131918, 0.000122429, 3.345e-06, 569, 1411, 6
0.000168532, 0.000100479, 6.7442e-05, 1.506e-06, 555, 1541, 6
0.000236442, 0.000144728, 9.0864e-05, 1.603e-06, 558, 1618, 3
0.000524859, 0.000262628, 0.000258569, 6.177e-06, 555, 1639, 12
0.000442489, 0.000249608, 0.000191091, 4.128e-06, 571, 1803, 11
0.000305151, 0.000158398, 0.000145188, 3.809e-06, 580, 1691, 8
0.000627312, 0.000265571, 0.000359788, 8.348e-06, 585, 1590, 11
